Song,Artist(s),Lyrics
Are You Gonna Go My Way,Lenny Kravitz,born long ago chosen one come save day leave done got try got breath fun though paid play game stop done really want know gonna go way got got know know always cry must leave get undone must engage rearrange turn planet back one tell got die kill one one got hug rub dub got dance love gonna go way got got know gonna go way cause baby got know
Bitter Sweet Symphony,The Verve,cause bittersweet symphony life tryna make end meet slave money die take road ever know one take place vein meet change change change change mold mold million different people one day next change mold ever well never prayed tonight knee need hear sound recognize pain let melody shine let cleanse mind feel free airwave clean nobody singin change change change change mold mold million different people one day next change mold ever change change cause bittersweet symphony life tryna make end meet tryna find somebody die take road ever know one take place vein meet know change change change change mold mold million different people one day next change mold change mold change mold sex violence melody silence sex violence melody silence take road ever take road ever ever ever ever ever ever ever ever
Straight Lines,Silverchair,breathing hole lung one face front racing void head find trace good luck academy spark ignite trade thought one nothing particular washed sickened socket drove resent nothing good inside wake lower fever walking straight line set fire evening everything fine wake strong morning walking straight line lately desperate believer walking straight line something never forget felt desperate stuck marrow invisible everyone else sex change damsel heroine wake lower fever walking straight line set fire evening everything fine wake strong morning walking straight line lately desperate believer walking straight line need time say changing yesterday keep talking keep walking straight line wake lower fever walking straight line set fire evening everything fine wake strong morning walking straight line lately desperate believer walking straight line
You Oughta Know,Alanis Morissette,want know happy wish nothing best older version perverted like would go theater speak eloquently would baby sure make really excellent mother cause love gave made able make enough open wide every time speak name know told hold died til died still alive remind mess left went away fair deny cross bear gave oughta know seem well thing look peaceful quite well thought know forget mr duplicity hate bug middle dinner slap face quickly replaced thinking fuck cause love gave made able make enough open wide every time speak name know told hold died til died still alive remind mess left went away fair deny cross bear gave oughta know cause joke laid bed gonna fade soon close eye know every time scratch nail someone else back hope feel well feel well remind mess left went away fair deny cross bear gave oughta know well remind mess left went away fair deny cross bear gave oughta know
Billie Jean,Michael Jackson,like beauty queen movie scene said mind mean one dance floor round said one dance floor round told name billie jean caused scene every head turned eye dreamed one dance floor round people always told careful go around breaking young girl heart mother always told careful love careful cause lie becomes truth billie jean lover girl claim one kid son say one kid son forty day forty night law side stand demand scheme plan cause danced floor round take strong advice remember always think twice think twice think twice told baby danced til three looked showed photo baby cried eye like mine cause danced floor round baby people always told careful go around breaking young girl heart came stood right smell sweet perfume happened much soon called room billie jean lover girl claim one kid son billie jean lover girl claim one kid son say one kid son say one kid son billie jean lover girl claim one kid son say one kid son say one know say son breaking heart babe say one billie jean lover billie jean lover
Thinking Out Loud,Ed Sheeran,leg work like used sweep foot mouth still remember taste love eye still smile cheek darling loving til baby heart could still fall hard thinking bout people fall love mysterious way maybe touch hand fall love every single day wanna tell honey take loving arm kiss light thousand star place head beating heart thinking loud maybe found love right hair gone memory fade crowd remember name hand play string way mm know still love cause honey soul never grow old evergreen baby smile forever mind memory thinking bout people fall love mysterious way maybe part plan keep making mistake hoping understand baby take loving arm kiss light thousand star place head beating heart thinking loud maybe found love right baby take loving arm kiss light thousand star darling place head beating heart thinking loud maybe found love right baby found love right maybe found love right
Sweet Caroline,Neil Diamond,began begin knowing know growing strong spring spring became summer believed come along hand touching hand reaching touching touching sweet caroline good time never seemed good inclined believe never would look night seem lonely filled two hurt hurting run shoulder hurt holding one touching one reaching touching touching sweet caroline good time never seemed good inclined believe never would sweet caroline good time never seemed good sweet caroline believe never could sweet caroline good time never seemed good
Money for Nothing,Dire Straits,look yo yos way play guitar mtv workin way money nothin chick free workin way lemme tell ya guy dumb maybe get blister little finger maybe get blister thumb got install microwave oven custom kitchen delivery got move refrigerator got move color tv see little faggot earring make buddy hair little faggot got jet airplane little faggot millionaire got install microwave oven custom kitchen delivery got move refrigerator gotta move color tv got install microwave oven custom kitchen delivery got move refrigerator got move color tv looky look shoulda learned play guitar shoulda learned play drum look mama got stickin camera man could hawaiian noise bangin bongo like chimpanzee workin way get money nothin get chick free got install microwave oven custom kitchen delivery got move refrigerator gotta move color tv listen workin way play guitar mtv workin way money nothin chick free money nothin chick free get money nothin chick free money nothin chick free money nothin chick free money money money money nothin chick free get money nothin get chick free get money nothin chick free get money nothin chick free look look get money nothin want want chick free want mtv money nothin chick free want want want mtv get money nothin want want chick free want mtv get money nothin want want chick free want mtv easy easy money nothin want want easy easy chick free want mtv easy easy money nothin want want chick free want mtv workin money nothing chick free money nothing chick free
Stand by Me,John Lennon,night come land dark moon light see afraid afraid long stand stand darlin darlin stand stand stand stand stand sky look upon tumble fall mountain crumble sea cry cry shed tear long stand stand darlin darlin stand stand whoa stand stand stand darlin darlin stand stand stand stand stand whenever trouble stand stand whoa stand stand
Take On Me,A-ha,talking away know say say anyway today another day find shying away coming love okay take take take take gone day two needle say odds end stumbling away slowly learning life okay say better safe sorry take take take take gone day two thing say life play worry away thing got remember shying away coming anyway take take take take gone day gone take take day take take take take take take take
Walk On The Wild Side,Lou Reed,holly came miami f l hitch hiked way across u plucked eyebrow way shaved leg say hey babe take walk wild side said hey honey take walk wild side candy came island back room everybody darling never lost head even giving head say hey babe take walk wild side said hey babe take walk wild side colored girl go doo doo doo doo little joe never gave away everybody pay pay hustle hustle new york city place said hey babe take walk wild side said hey joe take walk wild side sugar plum fairy came hit street looking soul food place eat went apollo seen go go go said hey sugar take walk wild side said hey babe take walk wild side alright huh jackie speeding away thought james dean day guess crash valium would helped bash said hey babe take walk wild side said hey honey take walk wild side colored girl say doo doo doo doo
Angie,The Rolling Stones,angie angie cloud disappear angie angie lead u lovin soul money coat say satisfied angie angie say never tried angie beautiful time said goodbye angie still love remember night cried dream held close seemed go smoke let whisper ear angie angie lead u angie weep kiss still taste sweet hate sadness eye angie angie time said goodbye lovin soul money coat say satisfied angie still love baby everywhere look see eye woman come close come baby dry eye angie angie good alive angie angie say never tried
Dumb Things,Paul Kelly,welcome stranger show one lying low saw knife turned back heard train coming stayed track middle middle middle dream lost shirt pawned ring done dumb thing caught fever heard tune thought loved hung heart moon started howling made sense thought friend would rush defence middle middle middle dream lost shirt pawned ring done dumb thing get good advice stop going thing twice see knife turn back hear train coming stay right track middle middle middle dream lost shirt pawned ring done dumb thing melted wax fix wing done dumb thing threw hat ring done dumb thing thought sing done dumb thing
Blue Sky Mine,"Midnight Oil
",hey hey hey hey food table tonight hey hey hey hey pay pocket tonight gut wrenched crunched broken life led token strike flint upon stone tell yell night reply bruised silence screen comfort speak sentence blew light heaven gate know work day blue sky mine food table tonight still walk blue sky mine pay pocket tonight candy store pauper lie share holder crossing finger pay truth maker balance sheet breaking sky caught junction still waiting medicine sweat brow keep feeding engine hope crumb pocket keep another night blue sky mining company come rescue sugar refining company save gonna save gonna save gonna save work day blue sky mine food table tonight walk blue sky mine pay pocket tonight sailed distant shore company take company want nothing precious hole ground gonna save gonna save pray sense reason brings u gonna save gonna save got nothing fear end rain come end rain come wash clean street blue sky town
Candle In The Wind,"Elton John
",goodbye norma jeane though never knew grace hold around crawled crawled woodwork whispered brain set treadmill made change name seems lived life like candle wind never knowing cling rain set would liked know kid candle burned long legend ever loneliness tough toughest role ever played hollywood created superstar pain price paid even died press still hounded paper say marilyn found nude seems lived life like candle wind never knowing cling rain set would liked know kid candle burned long legend ever goodbye norma jeane though never knew grace hold around crawled goodbye norma jeane young man twenty second row see something sexual marilyn monroe seems lived life like candle wind never knowing cling rain set would liked know kid candle burned long legend ever candle burned long legend ever
With Or Without You,"U2
",see stone set eye see thorn twist side wait sleight hand twist fate bed nail make wait wait without without without storm reach shore give want waiting without without ah ah live without give away give away give give give away hand tied body bruised got nothing win nothing left lose give away give away give give give away without without live without without without live without without
Mamma Mia,ABBA,cheated since know made mind must come end look ever learn know suddenly lose control fire within soul hear bell ring one look forget everything whoa mamma mia go resist mamma mia show much missed yes brokenhearted blue since day parted ever let go mamma mia really know could never let go angry sad thing count time told go slam door think know away long know strong hear bell ring one look forget everything whoa mamma mia go resist mamma mia show much missed yes brokenhearted blue since day parted ever let go mamma mia even say bye bye leave never mamma mia game play bye bye mean forever mamma mia go resist mamma mia show much missed yes brokenhearted blue since day parted ever let go mamma mia really know could never let go
Cheap Wine,Cold Chisel ,smoked danneman cigar drove foreign car baby year ago left behind friend heard died well needle crucified baby year ago left behind cheap wine three day growth cheap wine three day growth come come come mind takin charity despise baby need love need love baby shout meet eye really need love need love need love got cheap wine three day growth cheap wine three day growth come come come come sittin beach drinkin rocket fuel spent whole night breakin rule mendin every minute day watching ocean watching shore watching sunrise thinkin could never never well anytime want find telephone another world away always feel home cheap wine three day growth cheap wine three day growth come come come come come cheap wine three day growth cheap wine three day growth come come come come come cheap wine three day growth cheap wine three day growth come come come left cheap wine three day growth cheap wine three day growth come come come
The Horses,Daryl Braithwaite,fly way high cold wind blow sun laughing fun people know situation keep u separated know world fall apart free beautiful bird caught inside heart hear cry loud cast wild note water cloud way gonna little darlin riding horse way sky little darlin fall pick pick grow go right side even whisper wind carry ride hear people world one bird lonely cry see trying every way know make spirit fly see ground broken wing looking around way gonna little darlin go riding horse way sky little darlin fall pick pick way gonna little darlin go riding horse way sky little darlin fall pick pick way gonna little darlin go riding horse way sky little darlin fall pick pick way gonna little darlin go riding horse way sky little darlin fall pick pick way gonna little darlin go riding horse way sky little darlin fall pick pick
In the Ghetto,Elvis Presley,snow fly cold gray chicago mornin poor little baby child born ghetto ghetto mama cry cause one thing need another hungry mouth feed ghetto ghetto people understand child need helping hand grow angry young man day take look blind see simply turn head look way well world turn hungry little boy runny nose play street cold wind blow ghetto ghetto hunger burn start roam street night learns steal learns fight ghetto ghetto one night desperation young man break away buy gun steal car try run get far mama cry crowd gather round angry young man face street gun hand ghetto ghetto young man dy ghetto cold gray chicago mornin another little baby child born ghetto ghetto mama cry ghetto ghetto ah
Crazy in Love,Beyoncé,yes whoo ow crazy right incredibly ya girl b yes ya boy young ready uh uh uh ow uh uh uh uh uh uh uh uh uh history making part two crazy right look stare deep eye touch every time leave begging go call name two three time row funny thing try explain feeling pride one blame cause know understand love one else got looking crazy right love got looking crazy right love got looking crazy right touch got looking crazy right touch got hoping page right kiss got hoping save right looking crazy love got looking got looking crazy love uh uh uh uh uh uh uh uh uh uh uh uh talk friend quietly think look tennis shoe even need buy new dress nobody else impress way know thought knew beat heart skip still understand love one else got looking crazy right love got looking crazy right crazy got looking crazy right touch love got looking crazy right love got hoping page right kiss hey got hoping save right hey looking crazy love hey got looking got looking crazy love looking crazy love got looking got looking crazy love warmed let go young hov know flow loco young b r c uh ol g big homey one stick bony pocket fat like tony soprano roc handle like van axel shake phony man get next genuine article sing though sling though anything bling yo star like ringo war like green beret crazy bring ya whole set jay z range crazy deranged figure like hey insane yessir cut different cloth texture best fur chinchilla uh uh uh iller chain smoker think got name hova uh uh uh realer game uh uh uh fall back young ever since made change uh uh uh platinum game wrap one got looking crazy baby lately foolish playing baby care cause love got best baby making fool got sprung care see cause baby got baby got got crazy baby hey got looking crazy right love love got looking crazy right lookin crazy got looking crazy right touch got looking crazy right baby got hoping page right kiss hey got hoping save right looking crazy love hey got looking got looking crazy love whoa got looking crazy right love got looking crazy right love got looking crazy right touch got looking crazy right touch got hoping page right kiss got hoping save right looking crazy love got looking got looking crazy love
Thunderstruck,AC/DC,thunder thunder thunder thunder thunder thunder thunder thunder thunder thunder caught middle railroad track thunder looked round knew turning back thunder mind raced thought could thunder knew help help thunder sound drum beating heart thunder gun tore apart thunderstruck rode highway broke limit hit town went texas texas fun met girl dancer gave good time broke rule played fool blew mind shaking knee could come please lady kind thunderstruck thunderstruck thunderstruck thunderstruck shaking knee could come please thunderstruck thunderstruck thunderstruck thunderstruck said alright doin fine alright doin fine fine fine thunderstruck thunderstruck thunderstruck thunderstruck whoa baby baby thunderstruck thunderstruck thunderstruck thunderstruck thunderstruck thunderstruck
Holiday,Madonna,holiday celebrate holiday celebrate took holiday took time celebrate one day life would would nice everybody spread word gonna celebration across world every nation time good time forget bad time one day come together release pressure need holiday took holiday took time celebrate come let celebrate one day life holiday would would nice turn world around bring back happy day put trouble time celebrate let love shine find way come together make thing better need holiday took holiday holiday took time celebrate celebrate one day life one day would would nice holiday celebrate holiday celebrate took holiday took time celebrate come let celebrate one day life holiday would would nice holiday celebrate come let celebrate holiday one day life celebrate
Weather With You,Crowded House ,walking round room singing stormy weather mount pleasant street well room everything different fight sleep dream thing cookin kitchen strange affliction wash julius caesar roman empire conquer blue sky well small boat made china going nowhere mantlepiece well lie like loungeroom lizard sing like bird released everywhere go always take weather everywhere go always take weather everywhere go always take weather everywhere go always take weather weather everywhere go always take weather everywhere go always take weather everywhere go always take weather everywhere go always take weather take weather weather everywhere go always take weather everywhere go always take weather everywhere go always take weather everywhere go always take weather take weather weather
Torn,Natalie Imbruglia,thought saw man brought life warm came around like dignified showed cry well man adored seem know seem care heart know anymore nothin used lie conversation run dry goin nothing fine torn faith feel cold shamed lying naked floor illusion never changed something real wide awake see perfect sky torn little late already torn guess fortune teller right seen holy light crawled beneath vein care luck miss much many thing touch torn faith feel cold shamed lying naked floor illusion never changed something real wide awake see perfect sky torn little late already torn torn nothing used lie inspiration run dry goin nothing right torn faith feel cold shamed lying naked floor illusion never changed something real wide awake see perfect sky torn faith feel cold ashamed bound broken floor little late already torn torn
Ironic,Alanis Morissette,old man turned ninety eight lottery died next day black fly chardonnay death row pardon two minute late ironic think like rain wedding day free ride already paid good advice take would thought figure mr play safe afraid fly packed suitcase kissed kid goodbye waited whole damn life take flight plane crashed thought well nice ironic think like rain wedding day free ride already paid good advice take would thought figure well life funny way sneaking think everything okay everything going right life funny way helping think everything gone wrong everything blow face traffic jam already late smoking sign cigarette break like ten thousand spoon need knife meeting man dream meeting beautiful wife ironic think little ironic really think like rain wedding day free ride already paid good advice take would thought figure life funny way sneaking life funny funny way helping helping
L.A. Woman,The Doors,well got town hour ago took look around see way wind blow little girl hollywood bungalow lucky little lady city light another lost angel city night city night city night city night woo come l woman l woman l woman sunday afternoon l woman sunday afternoon l woman sunday afternoon drive suburb blue blue blue blue blue blue see hair burnin hill filled fire say never loved know liar drivin freeway midnight alley roam cop car topless bar never saw woman alone alone alone alone motel money murder madness let change mood glad sadness mister mojo risin mister mojo risin mister mojo risin mister mojo risin got keep risin mister mojo risin mister mojo risin mojo risin gotta mojo risin mister mojo risin gotta keep risin risin risin gone risin risin gone risin risin gotta risin risin well risin risin gotta wooo risin woah ohh well got town hour ago took look around see way wind blow little girl hollywood bungalow lucky little lady city light another lost angel city night city night city night city night whoa come l woman l woman l woman woman little l woman little l woman l l woman woman l woman come
You Give Love a Bad Name,Bon Jovi,shot heart blame darlin give love bad name angel smile sell promise heaven put hell chain love got hold passion prison break free loaded gun nowhere run one save damage done shot heart blame give love bad name bad name play part play game give love bad name bad name hey give love bad name paint smile lip blood red nail fingertip school boy dream act shy first kiss first kiss goodbye whoa loaded gun whoa nowhere run one save damage done shot heart blame give love bad name bad name play part play game give love bad name bad name give love shot heart blame give love bad name play part play game give love bad name bad name shot heart blame give love bad name bad name play part play game give love bad name bad name give love give love bad name
I Was Made for Lovin’ You,"Kiss
",tonight want give darkness much want tonight want lay foot cause girl made girl made made lovin baby made lovin get enough baby get enough tonight want see eye feel magic something drive wild tonight gonna make come true cause girl made girl made made lovin baby made lovin get enough baby get enough made lovin baby made lovin give baby give get enough get enough get enough made lovin baby made lovin get enough baby get enough made made get enough get enough made lovin baby made lovin get enough baby get enough
Footloose,Kenny Loggins,working hard punching card eight hour tell got gotten feeling time holding hit ceiling else tear town tonight gotta cut loose footloose kick sunday shoe please louise pull knee jack get back c mon crack lose blue everybody cut footloose playing cool obeying every rule dig way heart burning yearning somebody tell life passing trying tell even try fly cut loose footloose kick sunday shoe wee marie shake shake whoa milo c mon c mon let go lose blue everybody cut footloose cut footloose cut footloose cut footloose got turn around second put foot ground third take hold soul turning loose footloose kick sunday shoe please louise pull knee jack get back c mon crack lose blue everybody cut footloose footloose footloose footloose kick sunday shoe please louise pull knee jack get back c mon crack lose blue everybody cut everybody cut everybody cut everybody cut everybody cut everybody cut everybody everybody cut footloose
Come as You Are,Nirvana,come want friend friend old enemy take time hurry choice late take rest friend old memoria memoria memoria memoria come doused mud soaked bleach want trend friend old memoria memoria memoria memoria swear gun gun gun memoria memoria memoria memoria gun swear gun gun gun gun
Roxanne,The Police,roxanne put red light day sell body night roxanne wear dress tonight walk street money care wrong right roxanne put red light roxanne put red light roxanne put red light roxanne put red light roxanne put red light roxanne put red light roxanne put red light loved since knew talk tell feel share another boy know mind made put away make told tell bad way roxanne put red light roxanne put red light roxanne put red light roxanne put red light roxanne put red light
True Colors,Cyndi Lauper ,sad eye discouraged realize hard take courage world full people lose sight darkness inside make feel small see true color shining see true color love afraid let show true color true color beautiful like rainbow show smile unhappy remember last saw laughing world make crazy taken bear call know see true color shining see true color love afraid let show true color true color beautiful like rainbow world make crazy taken bear call know see true color shining see true color love afraid let show true color true color true color shining see true color love afraid let show true color true color beautiful like rainbow
I Got You ,James Brown,whoa feel good knew would feel good knew would good good got whoa feel nice like sugar spice feel nice like sugar spice nice nice got hold arm know wrong hold arm love harm feel nice like sugar spice feel nice like sugar spice nice nice got hold arm know wrong hold arm love harm feel nice like sugar spice feel nice like sugar spice nice nice cause got whoa feel good knew would feel good knew would good good cause got good good cause got good good cause got
We Will Rock You,"Queen
",buddy boy make big noise playing street gonna big man someday got mud face big disgrace kicking place singin rock rock buddy young man hard man shouting street gonna take world someday got blood face big disgrace waving banner place rock sing rock buddy old man poor man pleading eye gonna get peace someday got mud face big disgrace somebody better put back place rock come rock alright louder rock one time rock
Zombie,"Cranberries
",another head hang lowly child slowly taken violence caused silence mistaken see family head head fighting tank bomb bomb gun head head cry head head zombie zombie zombie ie ie head head zombie zombie zombie ie ie another mother breaking heart taking violence cause silence must mistaken old theme since nineteen sixteen head head still fighting tank bomb bomb gun head head dying head head zombie zombie zombie ie ie head head zombie zombie zombie ie ie ay ya ya
(Everything I Do) I Do It for You,Bryan Adams,look eye see mean search heart search soul find search tell worth trying tell worth dying know true know true everything look heart find nothing hide take take life would give would sacrifice tell worth fighting help nothing want know true everything love like love could give love nowhere unless time way tell worth trying help nothing want would fight lie walk wire die know true everything
Baby One More Time,Britney Spears,baby baby baby baby baby baby supposed know something right baby baby let go sight show want tell baby cause need know loneliness killing must confess still believe still believe lose mind give sign hit baby one time baby baby reason breathe boy got blinded pretty baby nothing way planned show want tell baby cause need know loneliness killing must confess still believe still believe lose mind give sign hit baby one time baby baby baby baby baby baby supposed know pretty baby let go must confess loneliness killing know still believe give sign hit baby one time loneliness killing must confess still believe still believe lose mind give sign hit baby one time must confess loneliness loneliness killing killing must confess know still believe still believe lose mind give sign hit baby one time
Everybody Hurts,"R.E.M.
",day long night night alone sure enough life well hang let go cause everybody cry everybody hurt sometimes sometimes everything wrong time sing along day night alone hold hold feel like letting go hold think much life well hang cause everybody hurt take comfort friend everybody hurt throw hand throw hand feel like alone alone life day night long think much life hang well everybody hurt sometimes everybody cry everybody hurt sometimes everybody hurt sometimes hold hold hold hold hold hold hold hold everybody hurt
Set Fire To The Rain,"Adele
",let fall heart fell rose claim dark kissed lip saved hand strong knee far weak stand arm without falling foot side never knew never knew thing say never true never true game play would always win always win set fire rain watched pour touched face well burned cried cause heard screaming name name lay could stay close eye feel forever together nothing get better cause side never knew never knew thing say never true never true game play would always win always win set fire rain watched pour touched face well burned cried cause heard screaming name name set fire rain threw u flame fell something died cause knew last time last time sometimes wake door heart caught must waiting even already help looking set fire rain watched pour touched face well burned cried cause heard screaming name name set fire rain threw u flame fell something died cause knew last time last time let burn let burn let burn
"I’d Do Anything for Love (But I Won’t Do That)
",Meat Loaf,day come easy day come hard day come day never end night breathing fire night carved ice night like nothing ever seen maybe crazy crazy true know save one else save long wheel turning long bay burning long dream coming true better believe would anything love know true fact would anything love never turning back never better long long would anything love would anything love would anything love would anything love anything dreaming would anything love anything dreaming would anything love anything dreaming would anything love anything dreaming would anything love anything dreaming would anything love anything dreaming never stop dreaming every night life way would anything love raise help get right godforsaken town make little le cold hold sacred hold tight colourise life sick black white make little le old make magic two hand build emerald city grain sand give something take home cater every fantasy got hose holy water get hot take place never known forget everything brief interlude midsummer night fling see time move know territory around turn dust fall sooner later screwing around anything love would anything love would anything love
Summer Nights,"John Travolta – Olivia Newton-John
",summer lovin blast summer lovin happened fast met girl crazy met boy cute summer day drifting away uh summer night well well well uh tell tell get far tell tell like car swam got cramp ran got suit damp saved life nearly drowned showed splashing around summer sun something begun uh summer night well well well uh tell tell love first sight tell tell put fight took bowling arcade went strolling drank lemonade made dock stayed till ten clock summer fling mean thing uh summer night tell tell gotta brag tell tell cause sound like drag got friendly holding hand well got friendly sand sweet turned eighteen well good know mean summer heat boy girl meet uh summer night tell tell much dough spend tell tell could get friend turned colder end told still friend made true love vow wonder doin summer dream ripped seam summer night tell tell
I Don't Want to Miss a Thing,Aerosmith,could stay awake hear breathing watch smile sleeping far away dreaming could spend life sweet surrender could stay lost moment forever every moment spent moment treasure want close eye want fall asleep cause miss baby want miss thing cause even dream sweetest dream never still miss baby want miss thing lying close feeling heart beating wondering dreaming wondering seeing kiss eye thank god together want stay moment forever forever ever want close eye want fall asleep cause miss baby want miss thing cause even dream sweetest dream never still miss baby want miss thing want miss one smile want miss one kiss want right like want hold close feel heart close mine stay moment rest time want close eye want fall asleep cause miss baby want miss thing cause even dream even dream sweetest dream never still miss baby want miss thing want close eye want fall asleep cause miss baby want miss thing cause even dream sweetest dream never still miss baby want miss thing want close eye want fall asleep want miss thing
I Gotta Feeling,"Black Eyed Peas
",got feeling tonight gonna good night tonight gonna good night tonight gonna good good night feeling tonight gonna good night tonight gonna good night tonight gonna good good night feeling woo hoo tonight gonna good night tonight gonna good night tonight gonna good good night feeling woo hoo tonight gonna good night tonight gonna good night tonight gonna good good night feel tonight night let live got money let spend go smash like god jump sofa let kick know ball get go lose feel stressed wanna let go let go way spaced losing control fill cup mazel tov look dancing take let paint town shut let burn roof let let let let let live let let let cause got feeling woo hoo tonight gonna good night tonight gonna good night tonight gonna good good night feeling woo hoo tonight gonna good night tonight gonna good night tonight gonna good good night feel tonight night hey let live let live got money paid let spend let spend go smash smash like god like god jump sofa come let kick fill cup drink mazel tov l chaim look dancing move move take let paint town paint town shut shut let burn roof let let let let let let live let let let hey hey hey come go gotta rock easy come easy go top fill shot body rock rock stop round round around clock monday tuesday wednesday thursday friday saturday saturday sunday get get get get get u know say say party every day pa pa pa party every day feeling woo hoo tonight gonna good night tonight gonna good night tonight gonna good good night feeling woo hoo tonight gonna good night tonight gonna good night tonight gonna good good night
Sweet Home Alabama,Lynyrd Skynyrd,one two three turn big wheel keep turnin carry home see kin singin song south land miss alabamy think sin yes well heard mister young sing well heard ol neil put well hope neil young remember southern man need around anyhow sweet home alabama sky blue sweet home alabama lord comin home birmingham love governor boo hoo hoo could watergate bother conscience bother tell truth sweet home alabama sky blue sweet home alabama lord comin home come alabama muscle shoal got swampers known pick song two yes lord get much pick feelin blue sweet home alabama sky blue sweet home alabama lord comin home sweet home alabama sweet home sky blue governor true sweet home alabama lordy lord comin home montgomery got answer
What's Love Got to Do with It,"Tina Turner
",must understand though touch hand make pulse react thrill boy meeting girl opposite attract physical logical must try ignore mean love got got love second hand emotion love got got need heart heart broken love got got love second hand emo love got got need heart heart broken love got got love second hand emo love got got need heart heart broken may seem acting confused close tend look dazed read someplace got cause name phrase fit whatever reason love got got love second hand emotion love got got need heart heart broken love got got love second hand emotion love got got need heart heart broken love got got love second hand emotion love got got need heart heart broken love love
Glory Days,Bruce Springsteen ,friend big baseball player back high school could throw speedball make look like fool boy saw night roadside bar walking walking went back inside sat drink kept talking glory day well pas glory day wink young girl eye glory day glory day well girl life block back school could turn boy head sometimes friday stop drink put kid bed husband bobby well split guess two year gone sit around talking old time say feel like cry start laughing thinking glory day well pas glory day wink young girl eye glory day glory day think going well tonight going drink til get fill hope get old sit around thinking probably sitting back trying recapture little glory well time slip away leaf nothing mister boring story glory day pas glory day wink young girl eye glory day glory day pas glory day wink young girl eye glory day glory day
The Final Countdown,Europe,leavin together still farewell maybe come back earth tell guess one blame leaving ground leaving ground thing ever final countdown final countdown headin venus venus still stand tall cause maybe seen u welcome u many light year go thing found found sure miss final countdown final countdown final countdown final countdown final countdown final countdown final countdown final countdown final countdown final countdown leavin together final countdown miss final countdown final countdown final countdown
Wicked Game,Chris Isaak,world fire one could save strange desire make foolish people never dreamed meet somebody like never dreamed lose somebody like wanna fall love world gonna break heart wanna fall love world gonna break heart world gonna break heart wicked game play make feel way wicked thing let dream wicked thing say never felt way wicked thing make dream wanna fall love world gonna break heart wanna fall love world gonna break heart world fire one could save strange desire make foolish people never dreamed love somebody like never dreamed lose somebody like wanna fall love world gonna break heart wanna fall love world gonna break heart world gonna break heart world gonna break heart world gonna break heart world gonna break heart nobody love one
All I Wanna Do,Sheryl Crow,hit disco country club either wanna little fun die say man next nowhere apropos nothing say name william sure bill billy mac buddy plain ugly wonder ever day fun whole life drinking beer noon tuesday bar face giant car wash good people world washing car lunch break hosing scrubbing best skirt suit drive shiny datsuns buicks back phone company record store well nothing like billy cause wanna fun got feeling one wanna fun got feeling one wanna fun sun come santa monica boulevard like good beer buzz early mornin billy like peel label bottle bud shred bar light every match oversized pack letting one burn thick finger blowing cursing watching bottle bud spin floor happy couple enters bar dangerously close one another bartender look want ad wanna fun got feeling one wanna fun got feeling one wanna fun sun come santa monica boulevard otherwise bar day night car wash match bud clean dirty car sun moon wanna fun got feeling one wanna fun got feeling one wanna fun got feeling party begun wanna fun tell one wanna fun sun come santa monica boulevard sun come santa monica boulevard
Umbrella,"Rihanna
",uh huh uh huh rihanna uh huh uh huh good girl gone bad uh huh uh huh take three action uh huh uh huh hov cloud stone let rain hydroplane bank comin dow jones cloud come gone rocafella fly higher weather g better know anticipation precipitation stack chip rainy day rain man back little m sunshine rihanna heart never world apart maybe magazine still star baby cause dark see shiny car need always share sun shine shine together told forever said always friend took oath stick til end raining ever know still stand umbrella stand umbrella ella ella eh eh eh umbrella ella ella eh eh eh umbrella ella ella eh eh eh umbrella ella ella eh eh eh eh eh eh fancy thing never come part entity infinity world took part world dealt card hand hard together mend heart sun shine shine together told forever said always friend took oath stick til end raining ever know still stand umbrella stand umbrella ella ella eh eh eh umbrella ella ella eh eh eh umbrella ella ella eh eh eh umbrella ella ella eh eh eh eh eh eh run arm okay alarmed come distance love gon let rain pour need sun shine shine together told forever said always friend took oath stick til end raining ever know still stand umbrella stand umbrella ella ella eh eh eh umbrella ella ella eh eh eh umbrella ella ella eh eh eh umbrella ella ella eh eh eh eh eh eh raining raining baby raining raining baby come come raining raining baby raining raining always come come pouring rain pouring rain come come pouring rain pouring rain
The Best,Tina Turner ,call need heart fire come come wild wild come give everything need give lifetime promise world dream speak language love like know mean wrong take heart make strong baby simply best better rest better anyone anyone ever met stuck heart hang every word say tear u apart baby would rather dead heart see star every night every day eye get lost get washed away long arm could better place simply best better rest better anyone anyone ever met stuck heart hang every word say tear u apart baby would rather dead time leave start losing control walking away heart soul feel even alone baby let go best better rest better anyone anyone ever met stuck heart hang every word say tear u apart baby would rather dead best simply best better rest better anyone anyone ever met stuck heart baby hang every word say tear u apart baby would rather dead best better rest better anyone anyone ever met best
Karma Police,Radiohead,karma police arrest man talk math buzz like fridge like detuned radio karma police arrest girl hitler hairdo making feel ill crashed party get get get mess u karma police given enough given still payroll get get get mess u minute lost lost phew minute lost lost minute lost lost phew minute lost lost
Take My Breath Away,Berlin,watching every motion foolish lover game endless ocean finally lover know shame turning returning secret place inside watching slow motion turn around say take breath away take breath away watching keep waiting still anticipating love never hesitating become fated one turning returning secret place hide watching slow motion turn say love take breath away hourglass saw time slipped away mirror crashed called turned hear say today unafraid take breath away take breath away watching every motion foolish lover game haunted notion somewhere love flame turning returning secret place inside watching slow motion turn way say take breath away love take breath away love take breath away love take breath away
